date,median,var,0.95_low,0.95_high,0.5_low,0.5_high
2021-01-11,0.7596834,Lambda,0.7334349,0.78543156,0.7508944,0.76807237
2021-01-12,0.7616818,Lambda,0.7358487,0.7871473,0.7531698,0.7699319
2021-01-13,0.7636623,Lambda,0.7383443,0.7884883,0.7554705,0.77172565
2021-01-14,0.76570535,Lambda,0.74083567,0.7898917,0.75763446,0.773541
2021-01-15,0.7677237,Lambda,0.74341726,0.79111356,0.7599157,0.7752945
2021-01-16,0.76979256,Lambda,0.74607116,0.79233736,0.7622447,0.7771056
2021-01-17,0.771798,Lambda,0.7486637,0.79358995,0.7644183,0.7790854
2021-01-18,0.773831,Lambda,0.7512654,0.79494566,0.7666274,0.7809806
2021-01-19,0.7759038,Lambda,0.7538811,0.7965598,0.7688883,0.7829733
2021-01-20,0.7780122,Lambda,0.75657964,0.79829353,0.7711824,0.7849184
2021-01-21,0.7799849,Lambda,0.7593664,0.800153,0.77343,0.78688574
2021-01-22,0.7821078,Lambda,0.76179826,0.8020705,0.77564514,0.7887351
2021-01-23,0.78408056,Lambda,0.7642569,0.80378604,0.77775866,0.7906674
2021-01-24,0.7861508,Lambda,0.76677454,0.8055978,0.7799867,0.7927445
2021-01-25,0.7882719,Lambda,0.7691244,0.8074303,0.78232324,0.7947098
2021-01-26,0.7904601,Lambda,0.7715816,0.80871207,0.7844663,0.7965251
2021-01-27,0.79263246,Lambda,0.7740468,0.8099253,0.7866048,0.79850423
2021-01-28,0.79462206,Lambda,0.77673024,0.81143373,0.7888457,0.80057067
2021-01-29,0.7966578,Lambda,0.7793562,0.81300086,0.7910835,0.8025282
2021-01-30,0.7988328,Lambda,0.78205746,0.8147484,0.79327554,0.8045699
2021-01-31,0.8009227,Lambda,0.7845677,0.8167514,0.79572713,0.8065019
2021-02-01,0.80304015,Lambda,0.78716224,0.8179929,0.79795134,0.8085224
2021-02-02,0.80520797,Lambda,0.7896132,0.819682,0.80023265,0.8106593
2021-02-03,0.8073224,Lambda,0.7921474,0.82138085,0.8024309,0.8127032
2021-02-04,0.8095063,Lambda,0.7947485,0.8229145,0.8046309,0.81477183
2021-02-05,0.8117165,Lambda,0.7973652,0.82463974,0.8069993,0.8167966
2021-02-06,0.8137696,Lambda,0.79980534,0.8264205,0.80925024,0.8187808
2021-02-07,0.81598425,Lambda,0.80230063,0.8287822,0.81151456,0.8208917
2021-02-08,0.8182502,Lambda,0.80494386,0.830809,0.81378335,0.8228617
2021-02-09,0.820361,Lambda,0.8075192,0.8326852,0.8160377,0.82486844
2021-02-10,0.8225875,Lambda,0.8099668,0.83481663,0.81827897,0.82707775
2021-02-11,0.824756,Lambda,0.8122437,0.83678305,0.8204829,0.8291526
2021-02-12,0.8268493,Lambda,0.814633,0.8390861,0.8226627,0.83121216
2021-02-13,0.82901907,Lambda,0.8169257,0.8413929,0.8249792,0.8334379
2021-02-14,0.8312248,Lambda,0.8192444,0.8439325,0.82721305,0.83571833
2021-02-15,0.8334676,Lambda,0.82169926,0.8461692,0.8294607,0.83801365
2021-02-16,0.83567387,Lambda,0.8236407,0.8485848,0.83137214,0.8402233
2021-02-17,0.83793914,Lambda,0.8255579,0.85071313,0.8335432,0.84248745
2021-02-18,0.84014326,Lambda,0.8276532,0.8531833,0.83562726,0.84472406
2021-02-19,0.84245765,Lambda,0.8296511,0.8557496,0.837792,0.8470558
2021-02-20,0.8446546,Lambda,0.83156943,0.85836387,0.8399195,0.8493825
2021-02-21,0.8468095,Lambda,0.83367634,0.86093897,0.84204286,0.85176027
2021-02-22,0.84904385,Lambda,0.83577496,0.86359376,0.84413445,0.8542004
2021-02-23,0.8512032,Lambda,0.8374638,0.8663563,0.8463291,0.8566578
2021-02-24,0.8534171,Lambda,0.83924896,0.86891055,0.8485601,0.8590213
2021-02-25,0.85566616,Lambda,0.8411072,0.87144196,0.8506395,0.8614652
2021-02-26,0.8579354,Lambda,0.8428903,0.8741854,0.85280454,0.8639648
2021-02-27,0.86032796,Lambda,0.8446071,0.8771745,0.8549662,0.8665205
2021-02-28,0.8624955,Lambda,0.84611213,0.8799806,0.857201,0.869013
2021-03-01,0.86477995,Lambda,0.84770846,0.8831121,0.85933393,0.87156785
2021-03-02,0.86704284,Lambda,0.84959656,0.88592416,0.8614779,0.8739729
2021-03-03,0.86934096,Lambda,0.8512759,0.8890569,0.8634702,0.8766029
2021-03-04,0.87177014,Lambda,0.852759,0.89220905,0.8655652,0.87901974
2021-03-05,0.8740665,Lambda,0.85436195,0.89536065,0.8677119,0.8814231
2021-03-06,0.8763269,Lambda,0.8558809,0.89852154,0.86984074,0.8839938
2021-03-07,0.8787722,Lambda,0.8576932,0.90146226,0.8720194,0.8865815
2021-03-08,0.881022,Lambda,0.85937405,0.9043978,0.8742014,0.88913345
2021-03-09,0.88339484,Lambda,0.8610591,0.9073504,0.8763243,0.89182746
2021-03-10,0.8858906,Lambda,0.86361635,0.9096019,0.8788845,0.8940871
2021-03-11,0.8882657,Lambda,0.86662567,0.91150296,0.8814702,0.896257
2021-03-12,0.8907427,Lambda,0.8697295,0.91362834,0.8840201,0.8985095
2021-03-13,0.89324814,Lambda,0.8727401,0.91531926,0.8867421,0.9006839
2021-03-14,0.8956399,Lambda,0.8759885,0.91704684,0.8893905,0.9029306
2021-03-15,0.89798784,Lambda,0.8793907,0.9186946,0.89200914,0.9053168
2021-03-16,0.9005134,Lambda,0.8827536,0.9203816,0.89466894,0.90750957
2021-03-17,0.90306836,Lambda,0.8856929,0.92226213,0.8973283,0.9098483
2021-03-18,0.90562016,Lambda,0.8887095,0.9237674,0.89994526,0.9121178
2021-03-19,0.90812826,Lambda,0.89141935,0.9254609,0.9027637,0.9144347
2021-03-20,0.9106833,Lambda,0.89413786,0.92735153,0.9054084,0.9167502
2021-03-21,0.9130404,Lambda,0.8969657,0.9293785,0.9080336,0.9189869
2021-03-22,0.9156623,Lambda,0.8997148,0.93141806,0.9107176,0.92124355
2021-03-23,0.91828644,Lambda,0.9029331,0.93358606,0.91332334,0.92347753
2021-03-24,0.9209049,Lambda,0.90613633,0.9359464,0.9160776,0.92583764
2021-03-25,0.9234993,Lambda,0.90895617,0.9382116,0.91861117,0.9282682
2021-03-26,0.9260479,Lambda,0.91184986,0.94051975,0.9210968,0.93088806
2021-03-27,0.9286304,Lambda,0.91493577,0.94277865,0.923814,0.9332449
2021-03-28,0.93131936,Lambda,0.9176685,0.94515455,0.92638344,0.9357263
2021-03-29,0.9338025,Lambda,0.9202517,0.9472544,0.9289229,0.93822414
2021-03-30,0.936334,Lambda,0.92301,0.9498368,0.9314101,0.94088197
