Dates;age_group;InfectadosNoVacunados;InfectadosPrimeraDosis;InfectadosEsquemaCompleto;InfectadosDosisRefuerzo;InfectadosTotal;HospitalizadosNoVacunados;HospitalizadosPrimeraDosis;HospitalizadosEsquemaCompleto;HospitalizadosDosisRefuerzo;HospitalizadosTotal;MuertesNoVacunados;MuertesPrimeraDosis;MuertesEsquemaCompleto;MuertesDosisRefuerzo;MuertesTotal
23/03/2020;60-69;6;0;0;0;6;5;0;0;0;5;0;0;0;0;0
23/03/2020;70-80+;6;0;0;0;6;3;0;0;0;3;1;0;0;0;1
24/03/2020;0-19;3;0;0;0;3;1;0;0;0;1;1;0;0;0;1
24/03/2020;20-39;41;0;0;0;41;6;0;0;0;6;0;0;0;0;0
24/03/2020;40-49;21;0;0;0;21;4;0;0;0;4;0;0;0;0;0
24/03/2020;50-59;19;0;0;0;19;5;0;0;0;5;0;0;0;0;0
24/03/2020;60-69;13;0;0;0;13;6;0;0;0;6;0;0;0;0;0
24/03/2020;70-80+;8;0;0;0;8;4;0;0;0;4;0;0;0;0;0
25/03/2020;0-19;6;0;0;0;6;2;0;0;0;2;0;0;0;0;0
25/03/2020;20-39;26;0;0;0;26;3;0;0;0;3;1;0;0;0;1
25/03/2020;40-49;12;0;0;0;12;5;0;0;0;5;0;0;0;0;0
25/03/2020;50-59;11;0;0;0;11;5;0;0;0;5;0;0;0;0;0
25/03/2020;60-69;2;0;0;0;2;5;0;0;0;5;2;0;0;0;2
25/03/2020;70-80+;4;0;0;0;4;5;0;0;0;5;1;0;0;0;1
26/03/2020;0-19;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
26/03/2020;20-39;6;0;0;0;6;13;0;0;0;13;0;0;0;0;0
26/03/2020;40-49;0;0;0;0;0;12;0;0;0;12;0;0;0;0;0
26/03/2020;50-59;2;0;0;0;2;9;0;0;0;9;1;0;0;0;1
26/03/2020;60-69;1;0;0;0;1;4;0;0;0;4;0;0;0;0;0
26/03/2020;70-80+;1;0;0;0;1;9;0;0;0;9;1;0;0;0;1
27/03/2020;0-19;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
27/03/2020;20-39;26;0;0;0;26;7;0;0;0;7;1;0;0;0;1
27/03/2020;40-49;7;0;0;0;7;5;0;0;0;5;0;0;0;0;0
27/03/2020;50-59;6;0;0;0;6;13;0;0;0;13;1;0;0;0;1
27/03/2020;60-69;2;0;0;0;2;4;0;0;0;4;0;0;0;0;0
27/03/2020;70-80+;8;0;0;0;8;10;0;0;0;10;1;0;0;0;1
28/03/2020;0-19;3;0;0;0;3;1;0;0;0;1;0;0;0;0;0
28/03/2020;20-39;32;0;0;0;32;7;0;0;0;7;0;0;0;0;0
28/03/2020;40-49;10;0;0;0;10;7;0;0;0;7;1;0;0;0;1
28/03/2020;50-59;16;0;0;0;16;3;0;0;0;3;2;0;0;0;2
28/03/2020;60-69;6;0;0;0;6;11;0;0;0;11;0;0;0;0;0
28/03/2020;70-80+;2;0;0;0;2;5;0;0;0;5;2;0;0;0;2
29/03/2020;0-19;8;0;0;0;8;2;0;0;0;2;0;0;0;0;0
29/03/2020;20-39;37;0;0;0;37;10;0;0;0;10;1;0;0;0;1
29/03/2020;40-49;18;0;0;0;18;7;0;0;0;7;0;0;0;0;0
29/03/2020;50-59;10;0;0;0;10;14;0;0;0;14;0;0;0;0;0
29/03/2020;60-69;16;0;0;0;16;9;0;0;0;9;0;0;0;0;0
29/03/2020;70-80+;6;0;0;0;6;13;0;0;0;13;0;0;0;0;0
30/03/2020;0-19;4;0;0;0;4;1;0;0;0;1;0;0;0;0;0
30/03/2020;20-39;44;0;0;0;44;9;0;0;0;9;1;0;0;0;1
30/03/2020;40-49;11;0;0;0;11;12;0;0;0;12;1;0;0;0;1
30/03/2020;50-59;14;0;0;0;14;12;0;0;0;12;2;0;0;0;2
30/03/2020;60-69;14;0;0;0;14;11;0;0;0;11;1;0;0;0;1
30/03/2020;70-80+;9;0;0;0;9;9;0;0;0;9;0;0;0;0;0
31/03/2020;0-19;10;0;0;0;10;2;0;0;0;2;1;0;0;0;1
31/03/2020;20-39;50;0;0;0;50;14;0;0;0;14;0;0;0;0;0
31/03/2020;40-49;17;0;0;0;17;6;0;0;0;6;0;0;0;0;0
31/03/2020;50-59;17;0;0;0;17;18;0;0;0;18;0;0;0;0;0
31/03/2020;60-69;8;0;0;0;8;12;0;0;0;12;1;0;0;0;1
31/03/2020;70-80+;6;0;0;0;6;15;0;0;0;15;3;0;0;0;3
1/04/2020;0-19;12;0;0;0;12;1;0;0;0;1;0;0;0;0;0
1/04/2020;20-39;74;0;0;0;74;11;0;0;0;11;0;0;0;0;0
1/04/2020;40-49;29;0;0;0;29;9;0;0;0;9;0;0;0;0;0
1/04/2020;50-59;25;0;0;0;25;8;0;0;0;8;1;0;0;0;1
1/04/2020;60-69;13;0;0;0;13;13;0;0;0;13;0;0;0;0;0
1/04/2020;70-80+;9;0;0;0;9;13;0;0;0;13;3;0;0;0;3
2/04/2020;0-19;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0
2/04/2020;20-39;40;0;0;0;40;12;0;0;0;12;2;0;0;0;2
2/04/2020;40-49;16;0;0;0;16;5;0;0;0;5;1;0;0;0;1
2/04/2020;50-59;18;0;0;0;18;13;0;0;0;13;0;0;0;0;0
2/04/2020;60-69;15;0;0;0;15;11;0;0;0;11;2;0;0;0;2
2/04/2020;70-80+;5;0;0;0;5;16;0;0;0;16;2;0;0;0;2
3/04/2020;0-19;8;0;0;0;8;0;0;0;0;0;0;0;0;0;0
3/04/2020;20-39;33;0;0;0;33;18;0;0;0;18;1;0;0;0;1
3/04/2020;40-49;21;0;0;0;21;10;0;0;0;10;2;0;0;0;2
3/04/2020;50-59;19;0;0;0;19;6;0;0;0;6;0;0;0;0;0
3/04/2020;60-69;7;0;0;0;7;13;0;0;0;13;4;0;0;0;4
3/04/2020;70-80+;18;0;0;0;18;15;0;0;0;15;7;0;0;0;7
4/04/2020;0-19;6;0;0;0;6;0;0;0;0;0;0;0;0;0;0
4/04/2020;20-39;61;0;0;0;61;7;0;0;0;7;1;0;0;0;1
4/04/2020;40-49;21;0;0;0;21;4;0;0;0;4;0;0;0;0;0
4/04/2020;50-59;23;0;0;0;23;8;0;0;0;8;2;0;0;0;2
4/04/2020;60-69;16;0;0;0;16;8;0;0;0;8;3;0;0;0;3
4/04/2020;70-80+;12;0;0;0;12;17;0;0;0;17;10;0;0;0;10
5/04/2020;0-19;2;0;0;0;2;1;0;0;0;1;0;0;0;0;0
5/04/2020;20-39;33;0;0;0;33;5;0;0;0;5;2;0;0;0;2
5/04/2020;40-49;20;0;0;0;20;4;0;0;0;4;0;0;0;0;0
5/04/2020;50-59;14;0;0;0;14;6;0;0;0;6;0;0;0;0;0
5/04/2020;60-69;4;0;0;0;4;11;0;0;0;11;2;0;0;0;2
5/04/2020;70-80+;6;0;0;0;6;10;0;0;0;10;4;0;0;0;4
6/04/2020;0-19;8;0;0;0;8;1;0;0;0;1;0;0;0;0;0
6/04/2020;20-39;32;0;0;0;32;16;0;0;0;16;0;0;0;0;0
6/04/2020;40-49;13;0;0;0;13;3;0;0;0;3;2;0;0;0;2
6/04/2020;50-59;21;0;0;0;21;6;0;0;0;6;1;0;0;0;1
6/04/2020;60-69;11;0;0;0;11;12;0;0;0;12;2;0;0;0;2
6/04/2020;70-80+;13;0;0;0;13;11;0;0;0;11;7;0;0;0;7
7/04/2020;0-19;7;0;0;0;7;1;0;0;0;1;0;0;0;0;0
7/04/2020;20-39;51;0;0;0;51;4;0;0;0;4;0;0;0;0;0
7/04/2020;40-49;23;0;0;0;23;6;0;0;0;6;1;0;0;0;1
7/04/2020;50-59;24;0;0;0;24;6;0;0;0;6;0;0;0;0;0
7/04/2020;60-69;19;0;0;0;19;9;0;0;0;9;1;0;0;0;1
7/04/2020;70-80+;8;0;0;0;8;15;0;0;0;15;7;0;0;0;7
8/04/2020;0-19;22;0;0;0;22;0;0;0;0;0;0;0;0;0;0
8/04/2020;20-39;132;0;0;0;132;6;0;0;0;6;1;0;0;0;1
8/04/2020;40-49;64;0;0;0;64;5;0;0;0;5;0;0;0;0;0
8/04/2020;50-59;59;0;0;0;59;7;0;0;0;7;2;0;0;0;2
8/04/2020;60-69;40;0;0;0;40;4;0;0;0;4;0;0;0;0;0
8/04/2020;70-80+;29;0;0;0;29;16;0;0;0;16;2;0;0;0;2
9/04/2020;0-19;14;0;0;0;14;0;0;0;0;0;0;0;0;0;0
9/04/2020;20-39;55;0;0;0;55;13;0;0;0;13;1;0;0;0;1
9/04/2020;40-49;25;0;0;0;25;7;0;0;0;7;1;0;0;0;1
9/04/2020;50-59;32;0;0;0;32;7;0;0;0;7;3;0;0;0;3
9/04/2020;60-69;19;0;0;0;19;6;0;0;0;6;4;0;0;0;4
9/04/2020;70-80+;28;0;0;0;28;6;0;0;0;6;5;0;0;0;5
10/04/2020;0-19;25;0;0;0;25;0;0;0;0;0;0;0;0;0;0
10/04/2020;20-39;102;0;0;0;102;6;0;0;0;6;0;0;0;0;0
10/04/2020;40-49;35;0;0;0;35;7;0;0;0;7;0;0;0;0;0
10/04/2020;50-59;37;0;0;0;37;7;0;0;0;7;1;0;0;0;1
10/04/2020;60-69;30;0;0;0;30;7;0;0;0;7;1;0;0;0;1
10/04/2020;70-80+;22;0;0;0;22;8;0;0;0;8;3;0;0;0;3
11/04/2020;0-19;16;0;0;0;16;1;0;0;0;1;0;0;0;0;0
11/04/2020;20-39;87;0;0;0;87;5;0;0;0;5;1;0;0;0;1
11/04/2020;40-49;38;0;0;0;38;7;0;0;0;7;0;0;0;0;0
11/04/2020;50-59;42;0;0;0;42;9;0;0;0;9;2;0;0;0;2
11/04/2020;60-69;28;0;0;0;28;7;0;0;0;7;2;0;0;0;2
11/04/2020;70-80+;24;0;0;0;24;13;0;0;0;13;4;0;0;0;4
12/04/2020;0-19;9;0;0;0;9;0;0;0;0;0;0;0;0;0;0
12/04/2020;20-39;23;0;0;0;23;4;0;0;0;4;0;0;0;0;0
12/04/2020;40-49;8;0;0;0;8;3;0;0;0;3;1;0;0;0;1
12/04/2020;50-59;12;0;0;0;12;5;0;0;0;5;2;0;0;0;2
12/04/2020;60-69;6;0;0;0;6;7;0;0;0;7;6;0;0;0;6
12/04/2020;70-80+;11;0;0;0;11;5;0;0;0;5;3;0;0;0;3
13/04/2020;0-19;1;0;0;0;1;2;0;0;0;2;0;0;0;0;0
13/04/2020;20-39;31;0;0;0;31;4;0;0;0;4;0;0;0;0;0
13/04/2020;40-49;17;0;0;0;17;7;0;0;0;7;1;0;0;0;1
13/04/2020;50-59;15;0;0;0;15;2;0;0;0;2;0;0;0;0;0
13/04/2020;60-69;5;0;0;0;5;4;0;0;0;4;3;0;0;0;3
13/04/2020;70-80+;6;0;0;0;6;7;0;0;0;7;3;0;0;0;3
14/04/2020;0-19;11;0;0;0;11;0;0;0;0;0;0;0;0;0;0
14/04/2020;20-39;37;0;0;0;37;11;0;0;0;11;0;0;0;0;0
14/04/2020;40-49;20;0;0;0;20;8;0;0;0;8;0;0;0;0;0
14/04/2020;50-59;25;0;0;0;25;5;0;0;0;5;1;0;0;0;1
14/04/2020;60-69;15;0;0;0;15;3;0;0;0;3;4;0;0;0;4
14/04/2020;70-80+;15;0;0;0;15;11;0;0;0;11;6;0;0;0;6
15/04/2020;0-19;11;0;0;0;11;1;0;0;0;1;0;0;0;0;0
15/04/2020;20-39;53;0;0;0;53;1;0;0;0;1;0;0;0;0;0
15/04/2020;40-49;15;0;0;0;15;7;0;0;0;7;2;0;0;0;2
15/04/2020;50-59;19;0;0;0;19;8;0;0;0;8;2;0;0;0;2
15/04/2020;60-69;8;0;0;0;8;5;0;0;0;5;2;0;0;0;2
15/04/2020;70-80+;20;0;0;0;20;6;0;0;0;6;6;0;0;0;6
16/04/2020;0-19;17;0;0;0;17;1;0;0;0;1;0;0;0;0;0
16/04/2020;20-39;59;0;0;0;59;9;0;0;0;9;0;0;0;0;0
16/04/2020;40-49;18;0;0;0;18;4;0;0;0;4;1;0;0;0;1
16/04/2020;50-59;11;0;0;0;11;2;0;0;0;2;3;0;0;0;3
16/04/2020;60-69;13;0;0;0;13;5;0;0;0;5;5;0;0;0;5
16/04/2020;70-80+;9;0;0;0;9;10;0;0;0;10;7;0;0;0;7
17/04/2020;0-19;20;0;0;0;20;1;0;0;0;1;1;0;0;0;1
17/04/2020;20-39;88;0;0;0;88;7;0;0;0;7;1;0;0;0;1
17/04/2020;40-49;42;0;0;0;42;7;0;0;0;7;0;0;0;0;0
17/04/2020;50-59;27;0;0;0;27;3;0;0;0;3;0;0;0;0;0
17/04/2020;60-69;13;0;0;0;13;5;0;0;0;5;1;0;0;0;1
17/04/2020;70-80+;14;0;0;0;14;8;0;0;0;8;2;0;0;0;2
18/04/2020;0-19;26;0;0;0;26;0;0;0;0;0;0;0;0;0;0
18/04/2020;20-39;81;0;0;0;81;11;0;0;0;11;1;0;0;0;1
18/04/2020;40-49;32;0;0;0;32;5;0;0;0;5;0;0;0;0;0
18/04/2020;50-59;22;0;0;0;22;8;0;0;0;8;1;0;0;0;1
18/04/2020;60-69;12;0;0;0;12;5;0;0;0;5;5;0;0;0;5
18/04/2020;70-80+;13;0;0;0;13;11;0;0;0;11;6;0;0;0;6
19/04/2020;0-19;26;0;0;0;26;1;0;0;0;1;0;0;0;0;0
19/04/2020;20-39;77;0;0;0;77;2;0;0;0;2;0;0;0;0;0
19/04/2020;40-49;31;0;0;0;31;3;0;0;0;3;0;0;0;0;0
19/04/2020;50-59;17;0;0;0;17;9;0;0;0;9;2;0;0;0;2
19/04/2020;60-69;9;0;0;0;9;10;0;0;0;10;4;0;0;0;4
